anime_id,titulo,titulo_ingles,titulo_japones,tipo,fonte,episodios,status,em_exibicao,data_inicio_exibicao,data_fim_exibicao,duracao_min,classificacao_etaria,ano,temporada
100402,Tsurune: Kazemai Koukou Kyuudou-bu,Tsurune,ツルネ ―風舞高校弓道部―,TV,LIGHT_NOVEL,13.0,FINISHED,False,2018-10-22,2019-01-21,24.0,,2018.0,fall
100784,Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,銀魂. 銀ノ魂篇,TV,MANGA,12.0,FINISHED,False,2018-01-08,2018-03-26,24.0,,2018.0,winter
16001,Kokoro Connect: Michi Random,Kokoro Connect ~ The OVAs,ココロコネクト ミチランダム,OVA,LIGHT_NOVEL,4.0,FINISHED,False,2012-11-19,2012-12-10,27.0,,2012.0,fall
178548,Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru,"Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest",不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～,TV,LIGHT_NOVEL,12.0,FINISHED,False,2025-01-09,2025-03-27,24.0,,2025.0,winter
114340,Kuma Kuma Kuma Bear,Kuma Kuma Kuma Bear,くまクマ熊ベアー,TV,LIGHT_NOVEL,12.0,FINISHED,False,2020-10-07,2020-12-23,24.0,,2020.0,fall
108478,No Guns Life,No Guns Life,ノー・ガンズ・ライフ,TV,MANGA,12.0,FINISHED,False,2019-10-11,2019-12-27,24.0,,2019.0,fall
130050,Summer Ghost,Summer Ghost,サマーゴースト,MOVIE,ORIGINAL,1.0,FINISHED,False,2021-11-12,2021-11-12,40.0,,2021.0,fall
163135,Maou 2099,DEMON LORD 2099,魔王2099,TV,LIGHT_NOVEL,12.0,FINISHED,False,2024-10-13,2024-12-29,24.0,,2024.0,fall
21132,Tokyo Ghoul: [JACK],,東京喰種トーキョーグール [JACK],OVA,MANGA,1.0,FINISHED,False,2015-09-30,2015-09-30,30.0,,2015.0,summer
170468,Raise wa Tanin ga Ii,Yakuza Fiancé: Raise wa Tanin ga Ii,来世は他人がいい,TV,MANGA,12.0,FINISHED,False,2024-10-07,2024-12-23,24.0,,2024.0,fall
101239,Ahiru no Sora,Ahiru no Sora,あひるの空,TV,MANGA,50.0,FINISHED,False,2019-10-02,2020-09-30,24.0,,2019.0,fall
186,Initial D SECOND STAGE,Initial D 2nd Stage,頭文字[イニシャル]D SECOND STAGE,TV,MANGA,13.0,FINISHED,False,1999-10-15,2000-01-21,23.0,,1999.0,fall
20778,"Dragon Ball Z: Fukkatsu no ""F""",Dragon Ball Z: Resurrection 'F',ドラゴンボールZ 復活の「F」,MOVIE,ORIGINAL,1.0,FINISHED,False,2015-04-18,2015-04-18,107.0,,2015.0,spring
21584,Love Live! Sunshine!!,Love Live! Sunshine!!,ラブライブ！サンシャイン!!,TV,OTHER,13.0,FINISHED,False,2016-07-02,2016-09-24,24.0,,2016.0,summer
9062,Angel Beats! Tokubetsu-hen,Angel Beats! Specials,エンジェルビーツ 特別篇,SPECIAL,ORIGINAL,2.0,FINISHED,False,2010-12-22,2015-06-24,28.0,,2010.0,fall
187538,BLACK TORCH,BLACK TORCH,BLACK TORCH,TV,MANGA,,RELEASING,True,2026-07-04,,24.0,,2026.0,summer
154,Shaman King,Shaman King,シャーマンキング,TV,MANGA,64.0,FINISHED,False,2001-07-04,2002-09-25,23.0,,2001.0,summer
12679,Joshiraku,Joshiraku,じょしらく,TV,MANGA,13.0,FINISHED,False,2012-07-06,2012-09-28,24.0,,2012.0,summer
156131,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd","Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2",真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました 2nd,TV,LIGHT_NOVEL,12.0,FINISHED,False,2024-01-07,2024-03-24,24.0,,2024.0,winter
20964,Punch Line,PUNCH LINE,パンチライン,TV,ORIGINAL,12.0,FINISHED,False,2015-04-10,2015-06-26,24.0,,2015.0,spring
239,Gankutsuou,Gankutsuou: The Count of Monte Cristo,巌窟王,TV,OTHER,24.0,FINISHED,False,2004-10-06,2005-03-30,24.0,,2004.0,fall
19647,Hajime no Ippo: Rising,Hajime No Ippo: The Fighting! - Rising -,はじめの一歩 Rising,TV,MANGA,25.0,FINISHED,False,2013-10-05,2014-03-29,23.0,,2013.0,fall
20537,Mangaka-san to Assistant-san to THE ANIMATION,The Comic Artist & His Assistants,マンガ家さんとアシスタントさんと THE ANIMATION,TV_SHORT,MANGA,12.0,FINISHED,False,2014-04-08,2014-06-24,14.0,,2014.0,spring
170083,Dragon Ball DAIMA,Dragon Ball DAIMA,ドラゴンボールDAIMA,TV,ORIGINAL,20.0,FINISHED,False,2024-10-11,2025-02-28,24.0,,2024.0,fall
121176,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,本好きの下剋上 司書になるためには手段を選んでいられません 第3期,TV,LIGHT_NOVEL,10.0,FINISHED,False,2022-04-12,2022-06-14,24.0,,2022.0,spring
21855,UQ Holder!: Mahou Sensei Negima! 2,UQ Holder!,UQ Holder! ～魔法先生ネギま!2～,TV,MANGA,12.0,FINISHED,False,2017-10-03,2017-12-19,24.0,,2017.0,fall
12031,Kingdom,Kingdom,キングダム,TV,MANGA,38.0,FINISHED,False,2012-06-04,2013-02-25,25.0,,2012.0,summer
11933,Oda Nobuna no Yabou,The Ambition of Oda Nobuna,織田信奈の野望,TV,LIGHT_NOVEL,12.0,FINISHED,False,2012-07-09,2012-09-24,24.0,,2012.0,summer
24,School Rumble,School Rumble,スクールランブル,TV,MANGA,26.0,FINISHED,False,2004-10-05,2005-03-29,23.0,,2004.0,fall
169441,Watashi no Shiawase na Kekkon 2nd Season,My Happy Marriage Season 2,わたしの幸せな結婚 第二期,TV,LIGHT_NOVEL,13.0,FINISHED,False,2025-01-06,2025-04-09,24.0,,2025.0,winter
20995,To LOVE-Ru Darkness 2nd,To Love Ru Darkness 2,To LOVEる -とらぶる- ダークネス2nd,TV,MANGA,12.0,FINISHED,False,2015-07-07,2015-09-29,24.0,,2015.0,summer
155168,Hataraku Maou-sama!! 2nd Season,The Devil is a Part-Timer! Season 2 Part 2,はたらく魔王さま！！2nd Season,TV,LIGHT_NOVEL,12.0,FINISHED,False,2023-07-13,2023-09-28,24.0,,2023.0,summer
130166,Leadale no Daichi nite,In the Land of Leadale,リアデイルの大地にて,TV,LIGHT_NOVEL,12.0,FINISHED,False,2022-01-05,2022-03-23,24.0,,2022.0,winter
172190,Kimi wa Meido-sama.,You are Ms. Servant,君は冥土様。,TV,MANGA,12.0,FINISHED,False,2024-10-06,2024-12-22,23.0,,2024.0,fall
10012,Carnival Phantasm,,カーニバル・ファンタズム,OVA,MANGA,12.0,FINISHED,False,2011-08-14,2011-12-31,14.0,,2011.0,summer
158709,Unnamed Memory,Unnamed Memory,Unnamed Memory,TV,LIGHT_NOVEL,12.0,FINISHED,False,2024-04-09,2024-06-25,24.0,,2024.0,spring
1698,Nodame Cantabile,,のだめカンタービレ,TV,MANGA,23.0,FINISHED,False,2007-01-12,2007-06-15,22.0,,2007.0,winter
98205,Keppeki Danshi! Aoyama-kun,Clean Freak! Aoyama kun,潔癖男子! 青山くん,TV,MANGA,12.0,FINISHED,False,2017-07-03,2017-09-18,23.0,,2017.0,summer
857,Air Gear,Air Gear,エア・ギア,TV,MANGA,25.0,FINISHED,False,2006-04-05,2006-09-27,24.0,,2006.0,spring
100675,Saenai Heroine no Sodatekata Fine,Saekano the Movie: Finale,冴えない彼女の育てかた Fine,MOVIE,LIGHT_NOVEL,1.0,FINISHED,False,2019-10-26,2019-10-26,114.0,,2019.0,fall
164244,Oroka na Tenshi wa Akuma to Odoru,The Foolish Angel Dances with the Devil,愚かな天使は悪魔と踊る,TV,MANGA,12.0,FINISHED,False,2024-01-09,2024-03-26,24.0,,2024.0,winter
18139,Tonari no Seki-kun,Tonari no Seki-kun: The Master of Killing Time,となりの関くん,TV_SHORT,MANGA,21.0,FINISHED,False,2014-01-06,2014-05-26,8.0,,2014.0,winter
201903,Chou Kaguya-hime!,Cosmic Princess Kaguya!,超かぐや姫！,ONA,ORIGINAL,1.0,FINISHED,False,2026-01-22,2026-01-22,140.0,,2026.0,winter
16201,Aku no Hana,Flowers of Evil,惡の華,TV,MANGA,13.0,FINISHED,False,2013-04-05,2013-06-30,24.0,,2013.0,spring
179696,Kono Kaisha ni Suki na Hito ga Imasu,I Have a Crush at Work,この会社に好きな人がいます,TV,MANGA,12.0,FINISHED,False,2025-01-06,2025-03-24,24.0,,2025.0,winter
12365,Bakuman. 3,,バクマン。3,TV,MANGA,25.0,FINISHED,False,2012-10-06,2013-03-30,24.0,,2012.0,fall
106863,Nekopara,Nekopara,ネコぱら,TV,VISUAL_NOVEL,12.0,FINISHED,False,2020-01-09,2020-03-26,23.0,,2020.0,winter
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,MANGA,24.0,FINISHED,False,2005-04-15,2005-09-27,23.0,,2005.0,spring
170890,THE NEW GATE,THE NEW GATE,THE NEW GATE,TV,LIGHT_NOVEL,12.0,FINISHED,False,2024-04-14,2024-06-30,24.0,,2024.0,spring
20751,Mushishi Zoku Shou 2,MUSHI-SHI The Next Passage 2,蟲師 続章 2,TV,MANGA,10.0,FINISHED,False,2014-10-19,2014-12-22,24.0,,2014.0,fall
