anime_id,data_coleta,score,scored_by,rank,popularity,members,favorites
98202,2026-08-16,7.8,61037,430.0,362.0,157637,4446
392,2026-08-16,8.3,53404,153.0,363.0,157487,9498
167152,2026-08-16,8.1,40668,284.0,364.0,157113,4613
130592,2026-08-16,6.6,41683,,365.0,156338,1692
20946,2026-08-16,7.7,55619,,366.0,155986,3617
790,2026-08-16,7.6,38276,,367.0,155879,5129
114124,2026-08-16,8.1,51632,287.0,368.0,155476,6292
21131,2026-08-16,6.5,69583,,369.0,155468,2171
98491,2026-08-16,5.7,70368,,371.0,154857,2437
1195,2026-08-16,6.8,66266,,370.0,154804,2880
114745,2026-08-16,8.5,62118,68.0,372.0,154461,5725
1943,2026-08-16,7.9,63079,156.0,37.0,154455,4595
103871,2026-08-16,7.4,63710,,373.0,153886,3391
14289,2026-08-16,7.1,62140,,374.0,153771,2729
128705,2026-08-16,7.7,57450,,11.0,153659,4919
6213,2026-08-16,7.5,57002,,375.0,153483,3043
16742,2026-08-16,6.7,62881,,376.0,152672,3030
20722,2026-08-16,8.2,61794,196.0,377.0,152207,6195
103632,2026-08-16,7.2,59851,,378.0,152040,4426
20811,2026-08-16,8.3,74498,5.0,3.0,151865,3053
178754,2026-08-16,7.8,47146,447.0,379.0,151709,2760
112609,2026-08-16,7.4,54571,,380.0,151487,4374
108241,2026-08-16,6.6,53141,,381.0,151313,2513
20912,2026-08-16,8.0,53599,328.0,382.0,150508,5327
153800,2026-08-16,5.0,27499,,384.0,149711,2156
15689,2026-08-16,7.7,83654,,383.0,149678,1877
115113,2026-08-16,6.7,60584,,385.0,149262,2846
128547,2026-08-16,8.5,60934,73.0,386.0,148966,7195
100077,2026-08-16,8.0,59875,327.0,387.0,148545,4085
114043,2026-08-16,7.2,57159,,388.0,148383,2283
111322,2026-08-16,7.0,36599,,389.0,147918,2302
7785,2026-08-16,8.5,40948,87.0,390.0,147555,9786
153845,2026-08-16,6.3,52789,,391.0,147552,3470
19163,2026-08-16,6.9,76711,,392.0,147331,2103
101001,2026-08-16,7.9,54897,357.0,393.0,147298,5564
113425,2026-08-16,5.8,68386,,,147224,3363
7311,2026-08-16,8.6,60269,14.0,38.0,147172,7312
21400,2026-08-16,8.7,75359,5.0,39.0,146725,7643
104647,2026-08-16,7.3,61808,,394.0,146519,3696
97863,2026-08-16,5.9,65252,,396.0,146448,1909
527,2026-08-16,7.3,70308,,395.0,146408,3832
151384,2026-08-16,8.7,59911,36.0,397.0,146013,4548
8769,2026-08-16,6.5,68251,,398.0,145711,1727
99457,2026-08-16,8.2,52412,62.0,40.0,145178,6269
170942,2026-08-16,8.1,37475,40.0,12.0,145074,5555
17729,2026-08-16,7.2,58035,,399.0,144653,2750
20791,2026-08-16,8.0,71633,106.0,41.0,144615,3354
109190,2026-08-16,8.4,68798,35.0,42.0,144112,3466
1887,2026-08-16,7.5,53721,,400.0,143901,5120
2759,2026-08-16,7.8,74660,202.0,43.0,143755,2193
270,2026-08-16,7.2,47862,,401.0,143719,3111
21290,2026-08-16,6.3,57785,,402.0,143688,1617
178789,2026-08-16,8.4,10639,91.0,404.0,143072,4294
97832,2026-08-16,6.1,65355,,403.0,143072,2484
